LAST,FIRST,POS,AGE,TEAM,GP,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,EFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Smith,Willie,PG,23,CHI,2,None,11,0,1,.000,None,None,None,0,1,.000,.000,0,0,None,0,0,0,0,0,0,None,1,0
Snyder,Dick,SG,32,CLE,82,None,1685,316,693,.456,None,None,None,316,693,.456,.456,127,149,.852,47,102,149,160,45,30,None,177,759
Sobers,Ricky,SG,24,PHO,79,None,2005,414,834,.496,None,None,None,414,834,.496,.496,243,289,.841,82,152,234,238,93,14,None,258,1071
Sojourner,Mike,PF,23,ATL,51,None,551,95,203,.468,None,None,None,95,203,.468,.468,41,57,.719,49,97,146,21,15,9,None,66,231
Stacom,Kevin,SG,25,BOS,79,None,1051,179,438,.409,None,None,None,179,438,.409,.409,46,58,.793,40,57,97,117,19,3,None,65,404
Stallworth,Bud,SF,27,NOJ,40,None,526,126,272,.463,None,None,None,126,272,.463,.463,17,29,.586,19,52,71,23,19,11,None,76,269
Starr,Keith,SG,22,CHI,17,None,65,6,24,.250,None,None,None,6,24,.250,.250,2,2,1.000,6,4,10,6,1,0,None,11,14
Steele,Larry,SG,27,POR,81,None,1680,326,652,.500,None,None,None,326,652,.500,.500,183,227,.806,71,117,188,172,118,13,None,216,835
Tatum,Earl,SG,23,LAL,68,None,1249,283,607,.466,None,None,None,283,607,.466,.466,72,100,.720,83,153,236,118,85,22,None,168,638
Taylor,Brian,PG,25,KCK,72,None,2488,501,995,.504,None,None,None,501,995,.504,.504,225,275,.818,88,150,238,320,199,16,None,206,1227
Taylor,Fatty,PG,30,DEN,79,None,1548,132,314,.420,None,None,None,132,314,.420,.420,37,65,.569,90,121,211,288,132,9,None,202,301
Terrell,Ira,SF,22,PHO,78,None,1751,277,545,.508,None,None,None,277,545,.508,.508,111,176,.631,99,288,387,103,41,47,None,165,665
Terry,Chuck,SF,26,NYN,61,None,1075,128,318,.403,None,None,None,128,318,.403,.403,48,62,.774,43,100,143,39,58,10,None,120,304
Terry,Claude,SG,27,TOT,45,None,545,96,191,.503,None,None,None,96,191,.503,.503,36,44,.818,12,34,46,58,20,1,None,48,228
Terry,Claude,SG,27,BUF,33,None,304,49,104,.471,None,None,None,49,104,.471,.471,18,23,.783,4,24,28,33,11,0,None,27,116
Terry,Claude,SG,27,ATL,12,None,241,47,87,.540,None,None,None,47,87,.540,.540,18,21,.857,8,10,18,25,9,1,None,21,112
Thompson,David,SG,22,DEN,82,None,3001,824,1626,.507,None,None,None,824,1626,.507,.507,477,623,.766,138,196,334,337,114,53,None,236,2125
Thurmond,Nate,C,35,CLE,49,None,997,100,246,.407,None,None,None,100,246,.407,.407,68,106,.642,121,253,374,83,16,81,None,128,268
Tolson,Dean,PF,25,SEA,60,None,587,137,242,.566,None,None,None,137,242,.566,.566,85,159,.535,73,84,157,27,32,21,None,83,359
Tomjanovich,Rudy,PF,28,HOU,81,None,3130,733,1437,.510,None,None,None,733,1437,.510,.510,287,342,.839,172,512,684,172,57,27,None,198,1753
Towe,Monte,PG,23,DEN,51,None,409,56,138,.406,None,None,None,56,138,.406,.406,18,25,.720,8,26,34,87,16,0,None,61,130
Trapp,George,PF,28,DET,6,None,68,15,29,.517,None,None,None,15,29,.517,.517,3,4,.750,4,6,10,3,0,1,None,13,33
Twardzik,Dave,PG,26,POR,74,None,1937,263,430,.612,None,None,None,263,430,.612,.612,239,284,.842,75,127,202,247,128,15,None,228,765
Unseld,Wes,C,30,WSB,82,None,2860,270,551,.490,None,None,None,270,551,.490,.490,100,166,.602,243,634,877,363,87,45,None,253,640
